Ten_diem,X,Y,
SG1,11.288362,106.354632,91
SG2,10.98188,106.643388,88
SG3,10.866765,106.713297,82
RSG1,11.001424,106.642671,75
RSG2,11.00175,106.648331,81
RSG8,11.08327,106.535469,72
RSG3,10.984441,106.654791,81
RSG4,10.953611,106.67778,75
RSG5,10.943334,106.690834,76
RSG6,10.872474,106.714074,81
RSG7,10.887289,106.732026,78
RSG9,10.898867,106.715568,70
RSG10,10.895775,106.719744,73
RSG11,10.980017,106.740502,67
DN1,11.014418,106.77798,98
DN2,11.010711,106.779418,96
DN3,11.052521,106.721474,97
DN4,10.976152,106.771908,96
RDN7,11.065765,106.922701,97
RDN8,11.09169,106.701594,82
RDN1,11.011557,106.753498,81
RDN2,10.98276,106.758728,76
RDN3,10.9975,106.768746,79
RDN4,10.980492,106.769632,88
RDN5,10.916945,106.805557,77
RDN6,10.900194,106.816426,88
STT1,11.240833,106.492226,85
STT2,11.100569,106.597085,79
STT3,11.038926,106.611089,84
RTT1,11.323385,106.473527,91
RTT2,11.153991,106.585893,81
SB,11.252467,106.757934,97
KTL1,11.401166,106.710599,96
KTL2,11.357853,106.631118,95
